vf_otsu,vf_e11
0.6977685,0.6349867
0.5923228,0.45152074
0.6296682,0.586368
0.73661697,0.5972858
0.57544225,0.53331846
0.62932134,0.5604291
0.26130188,0.3
0.6388022,0.56432724
0.6446988,0.54527014
0.6046942,0.5214732
0.4989016,0.5080789
0.69395304,0.57312495
0.76575327,0.60833335
0.7186958,0.6102142
0.7407793,0.6133044
0.70146835,0.6315658
0.68065673,0.5826291
0.5083825,0.4232475
0.6533703,0.5465241
0.5236443,0.4888248
0.665048,0.61646897
0.72517055,0.5870811
0.74262923,0.6174061
0.5533588,0.5029225
0.45704705,0.43074858
0.6332524,0.5594356
0.49011445,0.4346302
0.74794775,0.6367731
0.5060701,0.4451092
0.639149,0.5934422
0.5375188,0.4657725
0.674182,0.5740283
0.6672448,0.60435915
0.6986935,0.58131266
0.7213551,0.56730336
0.76378775,0.6688175
0.7106024,0.5819273
0.68458784,0.59384626
0.6810036,0.5827205
0.72043014,0.6419341
0.66759163,0.63254225
0.6393803,0.54544485
0.6860909,0.5962964
0.67325705,0.5914229
0.22511274,0.3
0.60735345,0.54923314
0.67903805,0.5844382
0.7829807,0.63272655
0.62874323,0.5567774
0.53763443,0.4899177
0.41045207,0.35535768
0.54815584,0.5015422
0.6869002,0.5330137
0.48687708,0.5032802
0.6497861,0.5832981
0.75870043,0.63741565
0.5541681,0.4890484
0.7533819,0.61312795
0.61244076,0.55958384
0.52098507,0.46417245
0.616025,0.54710966
0.4527691,0.38754684
0.75881606,0.655023
0.7596254,0.6666816
0.68366283,0.5613963
0.56098974,0.519357
0.71985203,0.6210588
0.48040235,0.45508388
0.4209735,0.3958179
0.7363857,0.59138227
0.72702044,0.65052146
0.70597756,0.61852336
0.603538,0.5393773
0.74898833,0.62454534
0.7163834,0.6302562
0.5624928,0.51420116
0.7574286,0.6555808
0.7768528,0.66154563
0.575211,0.52209914
0.5030639,0.47349778
0.6048098,0.49227738
0.2295063,0.3
0.6397271,0.5594005
0.6411146,0.54491544
0.68123484,0.5408516
0.71765524,0.61287653
0.69268125,0.6142979
0.7144179,0.6031424
0.71846455,0.6405812
0.5430686,0.5194906
0.7304891,0.6071438
0.788068,0.63461065
0.72343624,0.6065101
0.54757774,0.5263038
0.74760085,0.61673254
0.40328363,0.37355986
0.7215863,0.6118358
0.6419239,0.54013455
0.65510464,0.5761201
0.6544109,0.57204634
0.5512776,0.48858857
0.7282923,0.6324258
0.4800555,0.46940878
0.6843566,0.5644987
0.68655336,0.61815643
0.4401665,0.45808348
0.50017345,0.43364322
0.4686091,0.4649422
0.75789106,0.64505637
0.67984736,0.5606661
0.66932595,0.55803084
0.6737195,0.6268174
0.6668979,0.61124456
0.5169384,0.46869543
0.60157245,0.5572048
0.3388831,0.35797527
0.67059773,0.5908616
0.5491964,0.44058317
0.48537403,0.42002493
0.7260955,0.635157
0.5717424,0.55227286
0.7227425,0.5884725
0.18372066,0.3
0.5500058,0.5001084
0.30789685,0.3
0.67117584,0.5484002
0.25713956,0.3
0.55601805,0.51404274
0.7663314,0.67747766
0.5305816,0.44956598
0.5513932,0.5137236
0.6063129,0.55291116
0.64955485,0.5678188
0.6993872,0.61071485
0.33749565,0.31517836
0.5643427,0.46892598
0.7237831,0.58316875
0.63533354,0.5141267
0.65290785,0.58120203
0.76066595,0.64601606
0.5855012,0.5425408
0.617528,0.5458431
0.7117586,0.6097118
0.5322003,0.48245952
0.6864377,0.58649266
0.74968207,0.60803026
0.6672448,0.56049323
0.727483,0.6023151
0.5575211,0.49163318
0.6977685,0.5948972
0.6282807,0.58053154
0.3057001,0.30475488
0.584345,0.5222326
0.54931206,0.51874626
0.61463755,0.5584614
0.679963,0.56884366
0.55786794,0.46515992
0.7799746,0.6259535
0.71673024,0.62845904
0.5614522,0.5303705
0.6591514,0.56833476
0.6764944,0.569458
0.7236675,0.5877226
0.61371255,0.5730521
0.7460978,0.6416311
0.67094463,0.58110833
0.6783443,0.5935885
0.51508844,0.5154272
0.6110533,0.5628635
0.58527,0.55179703
0.41507688,0.35541955
0.6931437,0.6001296
0.5288473,0.44556215
0.4195861,0.42790413
0.74228233,0.66708165
0.69788414,0.62268126
0.66759163,0.5723104
0.4340386,0.37525496
0.6841253,0.579952
0.54989016,0.50551873
0.74702275,0.6238908
0.72736734,0.6408248
0.67984736,0.6060379
0.784715,0.6867034
0.61405945,0.52814007
0.7591629,0.64521366
0.44109145,0.4076742
0.69152504,0.5953512
0.6791537,0.5576009
0.7096774,0.61988235
0.76170653,0.62448233
0.5422592,0.51552755
0.57312983,0.5241371
0.7016996,0.6053637
0.55960226,0.5186624
0.72597986,0.6290909
0.7546537,0.64371175
0.67348826,0.59178877
0.7488727,0.6348498
0.39044976,0.38591433
