model,property,R2,RMSE,MAPE,RPE_full,RPE_lowVf
baseline,E11,0.9367901883379433,5.748104306788123,2.724304547980997,2.724304547980997,5.51428184790507
baseline,E22,0.9092023625420976,0.1732001610493809,1.4521955546907397,1.4521955546907397,1.871516528220737
baseline,E33,0.6749633278366103,0.3945604229675581,1.961187982464968,1.961187982464968,2.273580736525558
baseline,G12,0.7817877644929618,0.386505869367068,4.758956972469497,4.758956972469497,5.843613970066135
baseline,G13,0.486578704464469,0.8604986325774984,6.135987416721624,6.135987416721624,7.853363008754788
baseline,nu12,0.8261711404308922,0.0050056120291044,0.9840531696027256,0.9840531696027256,1.135721383288031
baseline,nu13,0.6415550606439266,0.0090731705258161,1.50441650044783,1.50441650044783,1.5643231742481565
baseline,nu23,0.7241213469817007,0.0129077096772126,1.5131985076356422,1.5131985076356422,1.4551003817795465
physics_informed,E11,0.9364733631247945,5.762491852049285,2.73709510020695,2.73709510020695,5.5595374033443505
physics_informed,E22,0.9099037274949049,0.1725299232409082,1.4541814330550045,1.4541814330550045,1.7686455842381932
physics_informed,E33,0.6757973714040677,0.39405387711090245,1.9071206838601424,1.9071206838601424,2.12181844066417
physics_informed,G12,0.785667020250815,0.38305492013635645,4.702780854368539,4.702780854368539,5.828366220662151
physics_informed,G13,0.48587473440776197,0.8610883605184081,6.202718380498587,6.202718380498587,8.654453005002082
physics_informed,nu12,0.8253703463970379,0.005017128696468941,0.9715420347922461,0.9715420347922461,1.1020278266812076
physics_informed,nu13,0.6423930110710743,0.009062558971764213,1.4862068012291898,1.4862068012291898,1.551131587755068
physics_informed,nu23,0.7223450703416242,0.012949196895700376,1.5504986098764661,1.5504986098764661,1.4442150756401888
