model,property,RPE_full,RPE_lowVf
baseline,E11,2.724304547980997,5.51428184790507
baseline,E22,1.4521955546907397,1.871516528220737
baseline,E33,1.961187982464968,2.273580736525558
baseline,G12,4.758956972469497,5.843613970066135
baseline,G13,6.135987416721624,7.853363008754788
baseline,nu12,0.9840531696027256,1.135721383288031
baseline,nu13,1.50441650044783,1.5643231742481565
baseline,nu23,1.5131985076356422,1.4551003817795465
physics_informed,E11,2.73709510020695,5.5595374033443505
physics_informed,E22,1.4541814330550045,1.7686455842381932
physics_informed,E33,1.9071206838601424,2.12181844066417
physics_informed,G12,4.702780854368539,5.828366220662151
physics_informed,G13,6.202718380498587,8.654453005002082
physics_informed,nu12,0.9715420347922461,1.1020278266812076
physics_informed,nu13,1.4862068012291898,1.551131587755068
physics_informed,nu23,1.5504986098764661,1.4442150756401888
