property,percentile,baseline_RPE,physics_RPE,pct_change
mu1,p50,3.3483621510168797,3.468920437984939,-3.6005151632551624
mu1,p90,8.194476973857487,8.487655124161865,-3.57775305537733
mu1,p95,10.117218797513312,10.376005967818351,-2.5578884423122883
mu1,max,27.79279625897808,24.686745794318917,11.175739338051658
mu2,p50,4.086649055166031,4.29103019099617,-5.001191271165693
mu2,p90,8.968546131590225,9.382996402754825,-4.621153362915399
mu2,p95,10.619408558635515,11.408643296112592,-7.432002762859006
mu2,max,45.087405034618364,32.292611174870736,28.37775616033727
mu3,p50,2.286513906968433,2.352610366505702,-2.890708835657284
mu3,p90,5.882446288001826,6.041806440099008,-2.709079595375523
mu3,p95,7.302446742527287,7.849970065604704,-7.497806452853708
mu3,max,24.02278924561772,23.284758818976105,3.0722095552507396
